Date,Open,High,Low,Close,Adj Close,Volume
2023-11-10,37.500000,38.250000,37.099998,37.900002,37.900002,45379797
2023-11-13,38.599998,39.250000,37.799999,38.650002,38.650002,45335763
2023-11-15,39.950001,40.549999,39.549999,40.500000,40.500000,143082003
2023-11-16,40.500000,42.500000,40.500000,42.099998,42.099998,115717878
2023-11-17,42.900002,44.000000,40.299999,42.299999,42.299999,161956692
2023-11-20,42.500000,43.000000,40.200001,41.349998,41.349998,130271353
2023-11-21,41.500000,41.500000,39.299999,39.299999,39.299999,111694707
2023-11-22,37.750000,38.500000,37.349998,37.349998,37.349998,42657149
2023-11-23,35.500000,39.200001,35.500000,39.200001,39.200001,102656993
2023-11-24,40.000000,41.150002,39.450001,40.599998,40.599998,117045798
2023-11-28,41.349998,41.700001,38.700001,38.950001,38.950001,116147704
2023-11-29,39.450001,40.299999,37.599998,39.599998,39.599998,98361673
2023-11-30,40.349998,41.000000,38.099998,40.750000,40.750000,811525884
2023-12-01,40.000000,40.400002,39.000000,39.400002,39.400002,63576805
2023-12-04,41.000000,41.000000,39.700001,40.099998,40.099998,40525430
2023-12-05,40.500000,40.500000,38.849998,39.650002,39.650002,52174216
2023-12-06,39.500000,39.500000,38.400002,38.950001,38.950001,49075379
2023-12-07,38.950001,40.000000,38.000000,39.049999,39.049999,51193825
2023-12-08,39.599998,39.599998,38.000000,38.750000,38.750000,35448583
2023-12-11,38.849998,39.500000,38.000000,39.200001,39.200001,59585051
2023-12-12,39.500000,39.500000,38.400002,38.500000,38.500000,33308747
2023-12-13,38.599998,38.750000,37.500000,38.200001,38.200001,38010747
2023-12-14,38.200001,38.599998,37.099998,37.349998,37.349998,58576341
2023-12-15,37.299999,39.200001,36.000000,38.549999,38.549999,135917707
2023-12-18,38.750000,38.750000,37.500000,37.849998,37.849998,34128022
2023-12-19,37.849998,37.900002,36.799999,37.500000,37.500000,46279926
2023-12-20,37.900002,38.150002,35.650002,35.650002,35.650002,60110787
2023-12-21,34.299999,37.250000,33.900002,37.099998,37.099998,68214659
2023-12-22,37.500000,38.000000,36.500000,37.250000,37.250000,27363287
2023-12-26,37.250000,37.650002,36.549999,36.900002,36.900002,24483621
2023-12-27,37.299999,37.299999,36.200001,37.049999,37.049999,29736305
2023-12-28,37.200001,38.500000,37.099998,38.150002,38.150002,49428774
2023-12-29,38.549999,38.700001,38.000000,38.200001,38.200001,28153967
2024-01-01,38.500000,38.599998,38.000000,38.500000,38.500000,35078873
2024-01-02,38.700001,38.799999,37.099998,38.250000,38.250000,30864924
2024-01-03,38.250000,38.250000,37.700001,37.799999,37.799999,21788140
2024-01-04,37.799999,39.299999,37.750000,38.700001,38.700001,38232279
2024-01-05,38.900002,40.599998,38.700001,40.599998,40.599998,75799676
2024-01-08,41.500000,42.599998,40.000000,42.599998,42.599998,92602484
2024-01-09,43.250000,44.000000,41.500000,43.549999,43.549999,103582158
2024-01-10,44.099998,44.200001,42.299999,43.549999,43.549999,54417493
2024-01-11,43.900002,44.000000,42.700001,43.599998,43.599998,48037394
2024-01-12,43.799999,45.400002,43.150002,44.900002,44.900002,88210161
2024-01-15,45.200001,45.700001,43.700001,43.849998,43.849998,73414515
2024-01-16,44.000000,44.200001,41.650002,42.049999,42.049999,73662300
2024-01-17,41.500000,42.650002,40.349998,40.900002,40.900002,62350656
2024-01-18,40.900002,42.900002,40.099998,42.900002,42.900002,77361249
2024-01-19,43.500000,44.450001,41.450001,41.849998,41.849998,118653572
2024-01-23,42.500000,43.000000,40.200001,41.150002,41.150002,61821069
2024-01-24,41.599998,41.599998,40.349998,41.200001,41.200001,33524849
2024-01-25,41.650002,43.000000,40.900002,42.549999,42.549999,53839790
2024-01-29,43.000000,43.849998,42.549999,43.250000,43.250000,64987571
2024-01-30,43.500000,44.849998,42.750000,43.799999,43.799999,88270852
2024-01-31,44.400002,45.950001,44.200001,45.950001,45.950001,145374835
2024-02-01,47.299999,48.200001,47.000000,48.200001,48.200001,195541083
2024-02-02,49.900002,50.599998,48.000000,48.599998,48.599998,219513812
2024-02-05,49.599998,50.000000,47.500000,48.250000,48.250000,112297989
2024-02-06,48.799999,48.799999,47.200001,48.000000,48.000000,53168885
2024-02-07,48.200001,49.950001,48.200001,49.250000,49.250000,64866228
2024-02-08,49.500000,49.750000,48.500000,49.349998,49.349998,53850076
2024-02-09,49.349998,49.400002,46.900002,47.349998,47.349998,90732188
2024-02-12,47.950001,48.200001,45.000000,45.000000,45.000000,65398403
2024-02-13,43.650002,44.650002,42.750000,43.900002,43.900002,135410453
2024-02-14,42.450001,46.049999,42.049999,46.049999,46.049999,59861806
2024-02-15,46.950001,47.750000,46.500000,47.049999,47.049999,44781950
2024-02-16,47.700001,47.700001,46.000000,46.849998,46.849998,23858185
2024-02-19,47.500000,47.599998,46.049999,46.150002,46.150002,19476010
2024-02-20,46.650002,46.849998,45.599998,45.799999,45.799999,20108565
2024-02-21,45.950001,46.000000,43.750000,44.750000,44.750000,30440623
2024-02-22,44.849998,45.299999,43.799999,44.799999,44.799999,23276564
2024-02-23,45.150002,45.599998,44.799999,44.900002,44.900002,25286705
